ACCELEROMETER X ,ACCELEROMETER Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y,GRAVITY Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,LIGHT,MAGNETIC FIELD X,MAGNETIC FIELD Y,MAGNETIC FIELD Z,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,PROXIMITY,ATMOSPHERIC PRESSURE,SOUND LEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude,LOCATION Altitude-google,LOCATION Altitude-atmospheric pressure,LOCATION Speed,LOCATION Accuracy,LOCATION ORIENTATION,Satellites in range,GPS NMEA,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.632,3.794,8.9934,-1.2763,3.3351,9.1334,-0.2118,0.2691,-0.2859,-0.2866,-0.0701,0.1556,0.0,-19.66,-13.4,-45.8,86.24,-20.34,8.09,5.0,1015.17,62.064,50.38621,-4.148402,92.0,NaN,,0.0,12.0,,8 / 18,"$GPGSV,3,3,09,21,00,000,*43::$GPGGA,195150,5023.177458,N,00408.905147,W,2,06,1.0,45.0,M,47.0,M,,*61::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,09,84,11,246,*50::$GPRMC,195150,A,5023.177458,N,00408.905147,W,0.0,,300819,4.8,W,D*38::$GPGSA,A,3,05,07,09,13,28,30,,,,,,,1.2,1.0,0.7*37",15,2019-08-30 20:51:50:874
-2.4471,3.5092,9.3123,-2.5171,2.9504,9.0072,0.8372,0.1718,0.0808,0.2283,0.5987,-0.1912,0.0,-14.88,-4.95,-48.86,73.44,-17.51,15.61,5.0,1015.15,32.241,50.38615,-4.148387,92.0,NaN,,1.19,11.0,16.9,8 / 18,"$GPGSV,3,3,09,21,00,000,*43::$GPGGA,195151,5023.172744,N,00408.904123,W,2,06,1.0,45.0,M,47.0,M,,*68::$GPVTG,,T,,M,0.0,N,0.0,K,D*26::$GLGSV,3,3,09,84,11,246,*50::$GPRMC,195151,A,5023.172744,N,00408.904123,W,0.0,,300819,4.8,W,D*31::$GPGSA,A,3,05,07,09,13,28,30,,,,,,,1.2,1.0,0.7*37",1015,2019-08-30 20:51:51:874
-2.0417,2.8881,10.2101,-2.2668,3.3008,8.9519,-0.3057,0.2892,-1.0231,-0.6705,0.0981,0.0935,0.0,-12.24,-8.55,-48.73,71.0,-22.13,14.91,5.0,1015.16,35.971,50.386124,-4.148371,91.0,NaN,,1.66,10.0,86.1,8 / 18,"$GPGSV,3,3,09,21,00,000,*43::$GPGGA,195152,5023.169228,N,00408.903236,W,2,06,1.0,45.0,M,47.0,M,,*6E::$GPVTG,16.9,T,16.9,M,0.6,N,1.2,K,D*23::$GLGSV,3,1,09,78,00,000,36,70,16,299,29,86,09,355,30,77,10,023,25*6D::$GPRMC,195152,A,5023.169228,N,00408.903236,W,0.6,16.9,300819,4.8,W,D*21::$GPGSA,A,3,05,07,09,13,28,30,,,,,,,1.2,1.0,0.7*37",2015,2019-08-30 20:51:52:874
-2.1099,2.8385,7.8382,-2.7308,2.5355,9.0711,0.6595,0.3638,-1.023,0.0298,-0.2157,-0.0087,0.0,-10.93,-3.03,-50.01,72.79,-14.24,17.8,5.0,1015.16,37.039,50.386116,-4.148364,92.0,NaN,,2.59,10.0,75.7,8 / 18,"$GPGSV,3,3,09,21,00,000,*43::$GPGGA,195153,5023.167357,N,00408.902265,W,2,06,1.0,44.0,M,47.0,M,,*6E::$GPVTG,86.1,T,86.1,M,0.9,N,1.7,K,D*29::$GLGSV,3,3,09,84,11,246,*50::$GPRMC,195153,A,5023.167357,N,00408.902265,W,0.9,86.1,300819,4.8,W,D*2E::$GPGSA,A,3,05,07,09,13,28,30,,,,,,,1.2,1.0,0.7*37",3015,2019-08-30 20:51:53:874
-5.458,2.3954,10.5338,-3.2881,2.493,8.8963,-2.0569,-0.5614,2.321,-0.4538,0.171,0.3419,0.0,-7.72,-3.25,-50.11,71.49,-14.73,20.28,5.0,1015.17,33.156,50.3861,-4.148351,91.0,NaN,,2.99,10.0,75.5,8 / 18,"$GPGSV,3,3,09,21,00,000,*43::$GPGGA,195154,5023.166971,N,00408.901851,W,2,06,0.8,45.0,M,47.0,M,,*60::$GPVTG,75.7,T,75.7,M,1.4,N,2.6,K,D*27::$GLGSV,3,3,09,84,11,246,*50::$GPRMC,195154,A,5023.166971,N,00408.901851,W,1.4,75.7,300819,4.8,W,D*2E::$GPGSA,A,3,05,07,09,13,28,30,,,,,,,1.1,0.8,0.7*3D",4015,2019-08-30 20:51:54:874
-10.6011,-6.8783,3.173,-7.6724,-4.5907,4.0286,-3.0675,-2.4182,-0.1591,-0.8652,-1.4995,0.4336,0.0,26.27,5.8,-37.08,106.8,23.84,74.42,0.0,1015.21,55.782,50.386097,-4.148345,91.0,NaN,,3.13,10.0,75.3,8 / 18,"$GPGSV,3,3,09,21,00,000,*43::$GPGGA,195156,5023.165678,N,00408.900711,W,2,06,0.8,44.0,M,47.0,M,,*6C::$GPVTG,75.3,T,75.3,M,1.7,N,3.1,K,D*22::$GLGSV,3,3,09,84,11,246,*50::$GPRMC,195156,A,5023.165678,N,00408.900711,W,1.7,75.3,300819,4.8,W,D*24::$GPGSA,A,3,05,07,09,13,28,30,,,,,,,1.1,0.8,0.7*3D",5015,2019-08-30 20:51:55:874
0.2646,-8.2514,3.8839,-2.3309,-9.5208,0.3029,4.54,2.1589,3.1936,3.6417,2.5297,-4.381,0.0,33.07,29.67,-8.23,103.41,51.72,114.33,0.0,1015.23,55.028,50.386086,-4.148343,91.0,NaN,,2.66,10.0,75.5,8 / 18,"$GPGSV,3,3,09,21,00,000,*43::$GPGGA,195156,5023.165678,N,00408.900711,W,2,06,0.8,44.0,M,47.0,M,,*6C::$GPVTG,75.3,T,75.3,M,1.7,N,3.1,K,D*22::$GLGSV,3,3,09,84,11,246,*50::$GPRMC,195156,A,5023.165678,N,00408.900711,W,1.7,75.3,300819,4.8,W,D*24::$GPGSA,A,3,05,07,09,13,28,30,,,,,,,1.1,0.8,0.7*3D",6015,2019-08-30 20:51:56:874
-3.0273,-10.8943,1.2901,-0.0066,-9.519,-2.3576,9.1322,-0.543,3.9518,1.0704,0.5195,0.1275,0.0,12.87,44.8,1.04,52.95,76.09,179.84,0.0,1015.15,66.343,50.38608,-4.148328,91.0,NaN,,4.21,9.0,75.5,8 / 18,"$GPGSV,3,3,09,21,00,000,*43::$GPGGA,195157,5023.165027,N,00408.900590,W,2,06,1.0,44.0,M,47.0,M,,*63::$GPVTG,75.5,T,75.5,M,1.4,N,2.7,K,D*26::$GLGSV,3,3,09,84,11,246,*50::$GPRMC,195157,A,5023.165027,N,00408.900590,W,1.4,75.5,300819,4.8,W,D*27::$GPGSA,A,3,05,07,09,13,28,30,,,,,,,1.3,1.0,0.8*39",7015,2019-08-30 20:51:57:874
-4.1756,-19.6586,-15.2884,-0.4703,-9.4341,-2.6357,1.1528,5.7767,3.2854,2.0989,-0.4615,-0.1579,0.0,12.48,44.07,-1.6,45.68,74.16,169.88,0.0,1015.34,55.828,50.38608,-4.148317,91.0,NaN,,2.66,9.0,75.5,8 / 18,"$GPGSV,3,3,09,21,00,000,*43::$GPGGA,195158,5023.164938,N,00408.899654,W,2,06,1.5,44.0,M,47.0,M,,*65::$GPVTG,75.5,T,75.5,M,2.3,N,4.2,K,D*21::$GLGSV,3,3,09,84,11,246,*50::$GPRMC,195158,A,5023.164938,N,00408.899654,W,2.3,75.5,300819,4.8,W,D*20::$GPGSA,A,3,05,07,09,13,28,30,,,,,,,1.7,1.5,0.9*39",8016,2019-08-30 20:51:58:875
1.8734,-7.6132,1.3847,-0.6386,-9.1882,-3.3675,0.8385,0.8911,4.5159,-1.126,1.8343,0.3718,0.0,12.68,42.43,-14.95,46.83,80.68,159.89,0.0,1015.29,57.459,50.38608,-4.148302,91.0,NaN,,3.02,10.0,75.6,8 / 18,"$GPGSV,3,3,09,21,00,000,*43::$GPGGA,195159,5023.164820,N,00408.899004,W,2,06,1.3,44.0,M,47.0,M,,*69::$GPVTG,75.5,T,75.5,M,1.4,N,2.7,K,D*26::$GLGSV,3,3,09,84,11,246,*50::$GPRMC,195159,A,5023.164820,N,00408.899004,W,1.4,75.5,300819,4.8,W,D*2E::$GPGSA,A,3,05,07,09,13,28,30,,,,,,,1.5,1.3,0.8*3C",9016,2019-08-30 20:51:59:875
