index,light,lat,long,accel_x,ACCELEROMETER Y,ACCELEROMETER Z,LOCATION Accuracy,elapsed,timestamp,geometry
0,0.0,50.38621,-4.148402,-1.632,3.7939999999999996,8.9934,12.0,15,2019-08-30 20:51:50:874,POINT (-4.148402 50.38621)
1,0.0,50.38615,-4.1483870000000005,-2.4471,3.5092,9.3123,11.0,1015,2019-08-30 20:51:51:874,POINT (-4.148387 50.38615)
2,0.0,50.386124,-4.148371,-2.0417,2.8881,10.2101,10.0,2015,2019-08-30 20:51:52:874,POINT (-4.148371 50.386124)
3,0.0,50.386115999999994,-4.148364,-2.1099,2.8385,7.8382,10.0,3015,2019-08-30 20:51:53:874,POINT (-4.148364 50.38611599999999)
4,0.0,50.3861,-4.148351,-5.457999999999999,2.3954,10.5338,10.0,4015,2019-08-30 20:51:54:874,POINT (-4.148351 50.3861)
5,0.0,50.386097,-4.148345,-10.6011,-6.8783,3.173,10.0,5015,2019-08-30 20:51:55:874,POINT (-4.148345 50.386097)
6,0.0,50.386086,-4.148343,0.2646,-8.2514,3.8839,10.0,6015,2019-08-30 20:51:56:874,POINT (-4.148343 50.386086)
7,0.0,50.38608,-4.148328,-3.0273,-10.8943,1.2901,9.0,7015,2019-08-30 20:51:57:874,POINT (-4.148328 50.38608)
8,0.0,50.38608,-4.148317,-4.1756,-19.6586,-15.2884,9.0,8016,2019-08-30 20:51:58:875,POINT (-4.148317 50.38608)
9,0.0,50.38608,-4.148301999999999,1.8734,-7.6132,1.3847,10.0,9016,2019-08-30 20:51:59:875,POINT (-4.148301999999999 50.38608)
10,0.0,50.386070000000004,-4.148292,-0.3738,-15.0672,-3.1278,10.0,10015,2019-08-30 20:52:00:874,POINT (-4.148292 50.38607)
11,0.0,50.386078000000005,-4.148275,-0.6425,-9.2323,-2.5754,9.0,11016,2019-08-30 20:52:01:875,POINT (-4.148275 50.386078)
12,0.0,50.386066,-4.148256,-0.4649,-7.531000000000001,-0.6403,9.0,12015,2019-08-30 20:52:02:874,POINT (-4.148256 50.386066)
13,0.0,50.386055,-4.148243,-0.7154,-5.1496,3.5109,9.0,13015,2019-08-30 20:52:03:874,POINT (-4.148243 50.386055)
14,0.0,50.386055,-4.148232,-4.6745,-19.0398,-13.0187,9.0,14015,2019-08-30 20:52:04:874,POINT (-4.148232 50.386055)
15,0.0,50.386055,-4.148216000000001,0.8962,-4.8009,1.8459999999999999,9.0,15016,2019-08-30 20:52:05:875,POINT (-4.148216000000001 50.386055)
16,0.0,50.386063,-4.148209,-4.1275,-14.6047,-1.5619999999999998,9.0,16015,2019-08-30 20:52:06:874,POINT (-4.148209 50.386063)
17,0.0,50.386066,-4.148186,-4.0214,-16.9281,-0.9082,9.0,17016,2019-08-30 20:52:07:875,POINT (-4.148186 50.386066)
18,0.0,50.386066,-4.1481699999999995,-2.2885,-9.1278,0.1726,9.0,18015,2019-08-30 20:52:08:874,POINT (-4.148169999999999 50.386066)
19,0.0,50.386063,-4.148153,0.2751,-8.2803,1.7298,9.0,19015,2019-08-30 20:52:09:874,POINT (-4.148153 50.386063)
20,0.0,50.386070000000004,-4.148147,-2.5438,-5.5991,5.7862,9.0,20015,2019-08-30 20:52:10:874,POINT (-4.148147 50.38607)
21,0.0,50.386078000000005,-4.148141000000001,0.986,-18.9562,-12.4743,9.0,21015,2019-08-30 20:52:11:874,POINT (-4.148141000000001 50.386078)
22,0.0,50.38609,-4.148144,-4.7739,-11.4162,-1.6021,9.0,22014,2019-08-30 20:52:12:873,POINT (-4.148144 50.38609)
23,0.0,50.386093,-4.14815,-2.0580000000000003,-12.9037,-4.3884,9.0,23016,2019-08-30 20:52:13:875,POINT (-4.14815 50.386093)
24,0.0,50.386097,-4.148126,-2.7606,-8.8438,-0.1145,9.0,24014,2019-08-30 20:52:14:873,POINT (-4.148126 50.386097)
25,0.0,50.386097,-4.148126,-1.1488,-8.649,-0.2885,9.0,25015,2019-08-30 20:52:15:874,POINT (-4.148126 50.386097)
26,0.0,50.386097,-4.148102,1.3896,-10.5732,2.2202,9.0,26015,2019-08-30 20:52:16:874,POINT (-4.148102 50.386097)
27,0.0,50.3861,-4.148087,1.3009,-11.4818,-11.1512,9.0,27016,2019-08-30 20:52:17:875,POINT (-4.148087 50.3861)
28,0.0,50.3861,-4.148073999999999,1.6941,-6.4804,1.4884,9.0,28016,2019-08-30 20:52:18:875,POINT (-4.148073999999999 50.3861)
29,0.0,50.386105,-4.148052,0.485,-13.4329,-2.0291,9.0,29015,2019-08-30 20:52:19:874,POINT (-4.148052 50.386105)
30,0.0,50.386105,-4.148033,-0.6193,-9.4654,-1.7142,9.0,30017,2019-08-30 20:52:20:876,POINT (-4.148033 50.386105)
31,0.0,50.386124,-4.148027,-1.3587,-9.1111,-0.1076,9.0,31015,2019-08-30 20:52:21:874,POINT (-4.148027 50.386124)
32,0.0,50.386124,-4.148027,-0.6415,-9.9951,-0.0731,9.0,32015,2019-08-30 20:52:22:874,POINT (-4.148027 50.386124)
33,0.0,50.386134999999996,-4.147989,2.2469,-9.333,-9.5954,9.0,33015,2019-08-30 20:52:23:874,POINT (-4.147989 50.386135)
34,0.0,50.386134999999996,-4.147971,1.13,-7.474,1.9151,9.0,34016,2019-08-30 20:52:24:875,POINT (-4.147971 50.386135)
35,0.0,50.386140000000005,-4.147956,2.7208,-13.2679,3.9355,9.0,35015,2019-08-30 20:52:25:874,POINT (-4.147956 50.38614)
36,0.0,50.386140000000005,-4.147944,-1.5015,-9.2682,-0.4497,9.0,36015,2019-08-30 20:52:26:874,POINT (-4.147944 50.38614)
37,0.0,50.386140000000005,-4.147926999999999,-2.5538,-8.8234,0.3316,9.0,37016,2019-08-30 20:52:27:875,POINT (-4.147926999999999 50.38614)
38,0.0,50.386143,-4.1479,-2.3475,-9.1353,-0.2902,9.0,38016,2019-08-30 20:52:28:875,POINT (-4.1479 50.386143)
39,0.0,50.386143,-4.1479,4.9087,-9.8441,2.9691,9.0,39016,2019-08-30 20:52:29:875,POINT (-4.1479 50.386143)
40,0.0,50.386143,-4.1479099999999995,1.013,-5.1634,1.508,9.0,40015,2019-08-30 20:52:30:874,POINT (-4.14791 50.386143)
41,0.0,50.386143,-4.147915,0.9359999999999999,-12.6069,3.0003,9.0,41017,2019-08-30 20:52:31:876,POINT (-4.147915 50.386143)
42,0.0,50.38616,-4.147933,-2.0322,-9.2004,0.5154,9.0,42015,2019-08-30 20:52:32:874,POINT (-4.147933 50.38616)
43,0.0,50.38616,-4.147916,-2.0084,-9.1463,0.4298,10.0,43015,2019-08-30 20:52:33:874,POINT (-4.147916 50.38616)
44,0.0,50.386165999999996,-4.147897,4.0749,-7.8323,3.3863,10.0,44016,2019-08-30 20:52:34:875,POINT (-4.147897 50.386166)
45,0.0,50.38617,-4.147876,-6.0488,-21.1756,-16.6144,10.0,45015,2019-08-30 20:52:35:874,POINT (-4.147876 50.38617)
46,0.0,50.38617,-4.147851,1.9034,-5.0538,2.3865,10.0,46015,2019-08-30 20:52:36:874,POINT (-4.147851 50.38617)
47,0.0,50.38617,-4.14784,2.3661,-12.8273,2.4696,10.0,47015,2019-08-30 20:52:37:874,POINT (-4.14784 50.38617)
48,0.0,50.386165999999996,-4.147809,-1.1594,-9.6921,-1.9779,10.0,48016,2019-08-30 20:52:38:875,POINT (-4.147809 50.386166)
49,0.0,50.386165999999996,-4.147809,-3.0321,-9.1342,0.2211,10.0,49015,2019-08-30 20:52:39:874,POINT (-4.147809 50.386166)
50,0.0,50.38617,-4.147776,-4.9823,-12.7983,1.8943,9.0,50016,2019-08-30 20:52:40:875,POINT (-4.147776 50.38617)
51,0.0,50.386165999999996,-4.1477580000000005,6.8856,-5.9616,0.4064,9.0,51016,2019-08-30 20:52:41:875,POINT (-4.147758000000001 50.386166)
52,0.0,50.38617,-4.147734,1.4996,-4.7166,1.3117,9.0,52015,2019-08-30 20:52:42:874,POINT (-4.147734 50.38617)
53,0.0,50.38615,-4.147718,5.5012,-14.1057,3.3996,9.0,53016,2019-08-30 20:52:43:875,POINT (-4.147718 50.38615)
54,0.0,50.386165999999996,-4.14771,-1.4888,-10.6428,-0.2659,9.0,54015,2019-08-30 20:52:44:874,POINT (-4.14771 50.386166)
55,0.0,50.386173,-4.14769,-1.7992,-9.2114,1.7677,9.0,55018,2019-08-30 20:52:45:877,POINT (-4.14769 50.386173)
56,0.0,50.386177,-4.147678,-0.9562,-10.679,2.5659,9.0,56015,2019-08-30 20:52:46:874,POINT (-4.147678 50.386177)
57,0.0,50.386185,-4.147657,-2.1121,-10.0237,-5.5562,9.0,57017,2019-08-30 20:52:47:876,POINT (-4.147657 50.386185)
58,0.0,50.386192,-4.147638,0.1878,-4.0572,1.7938,9.0,58015,2019-08-30 20:52:48:874,POINT (-4.147638 50.386192)
59,0.0,50.386196000000005,-4.147619000000001,3.1701,-13.8642,2.4363,10.0,59016,2019-08-30 20:52:49:875,POINT (-4.147619000000001 50.38619600000001)
60,0.0,50.3862,-4.147605,-0.8123,-9.5333,-1.9306,9.0,60015,2019-08-30 20:52:50:874,POINT (-4.147605 50.3862)
61,0.0,50.3862,-4.147588,-3.3045,-9.2198,0.46299999999999997,9.0,61014,2019-08-30 20:52:51:873,POINT (-4.147588 50.3862)
62,0.0,50.386208,-4.147576,-3.7116,-10.6731,-1.7208,9.0,62016,2019-08-30 20:52:52:875,POINT (-4.147576 50.386208)
63,0.0,50.386196000000005,-4.147557,2.222,-5.5091,-5.4654,9.0,63015,2019-08-30 20:52:53:874,POINT (-4.147557 50.38619600000001)
64,0.0,50.386204,-4.147538,0.5932,-8.6587,1.2105,9.0,64016,2019-08-30 20:52:54:875,POINT (-4.147538 50.386204)
65,0.0,50.386204,-4.147521,-4.3372,-13.1246,-1.1927,9.0,65015,2019-08-30 20:52:55:874,POINT (-4.147521 50.386204)
66,0.0,50.386208,-4.14749,-1.6806,-9.6481,-0.4622,9.0,66016,2019-08-30 20:52:56:875,POINT (-4.14749 50.386208)
67,0.0,50.38621,-4.147482,-4.5127,-11.1135,-0.3802,9.0,67016,2019-08-30 20:52:57:875,POINT (-4.147482 50.38621)
68,0.0,50.386215,-4.147465,3.7358,-9.8763,1.5498,9.0,68015,2019-08-30 20:52:58:874,POINT (-4.147465 50.386215)
69,0.0,50.38622,-4.147464,0.8028,-3.2539,0.4446,9.0,69015,2019-08-30 20:52:59:874,POINT (-4.147464 50.38622)
70,0.0,50.386223,-4.147468,-2.9968,-11.4909,-1.7041,9.0,70015,2019-08-30 20:53:00:874,POINT (-4.147468 50.386223)
71,0.0,50.38623,-4.147449,-3.9621,-13.48,-4.0631,9.0,71015,2019-08-30 20:53:01:874,POINT (-4.147449 50.38623)
72,0.0,50.386234,-4.147423000000001,-2.3773,-9.1478,0.9786,9.0,72015,2019-08-30 20:53:02:874,POINT (-4.147423000000001 50.386234)
73,0.0,50.38624,-4.147404,-1.1377,-8.5774,0.5733,9.0,73015,2019-08-30 20:53:03:874,POINT (-4.147404 50.38624)
74,0.0,50.38625,-4.147422,1.9081,-10.4583,-4.2619,9.0,74015,2019-08-30 20:53:04:874,POINT (-4.147422 50.38625)
75,0.0,50.386253,-4.147396,0.502,-3.6839,1.2783,9.0,75015,2019-08-30 20:53:05:874,POINT (-4.147396 50.386253)
